mp3/50d27ed0fcfff2ec2e000082.mp3,how are you settling into life in america lin lin
mp3/50d27ed0fcfff2ec2e000083.mp3,oh i'm doing well david life is good here
mp3/50d27ed0fcfff2ec2e000084.mp3,yeah i'm happy to show you around but at six i have to leave for a date
mp3/50d27ed0fcfff2ec2e000086.mp3,no this is the first date keep your fingers crossed
mp3/50d27ed0fcfff2ec2e000087.mp3,didn't you just have a date a few weeks ago
mp3/50d27ed0fcfff2ec2e000088.mp3,yeah but that didn't work out no point in being upset about it like we say in america there are other fish in the sea
mp3/50d27ed0fcfff2ec2e000089.mp3,oh i can't keep up with you david you are funny
mp3/50d27ed0fcfff2ec2e00008a.mp3,ha ha thank you hopefully my date thinks the same thing
mp3/50d30810fcfff2328100007a.mp3,i can't study anymore my brain is fried
mp3/50d30810fcfff2328100007b.mp3,aw poor guy i still have ten pages to write for my paper so we're in the same boat
mp3/50d30810fcfff2328100007c.mp3,i love studying here though it's nice and quiet
mp3/50d30810fcfff2328100007d.mp3,whatever we both know you've been checking out that barista the whole time
mp3/50d30810fcfff2328100007e.mp3,hey now she's beautiful and she makes great coffee
mp3/50d30810fcfff23281000080.mp3,i'm going to get a refill of coffee do you want one
mp3/50d30810fcfff23281000081.mp3,yeah a mug of dark roast would be great
mp3/50d30810fcfff23281000083.mp3,really okay well there are usually two kinds of regular coffee served at coffee shops dark roast and light roast
mp3/50d30810fcfff23281000085.mp3,dark roast has bolder flavor and less caffeine and light roast has milder flavor and more caffeine
mp3/50d30db4fcfff2561e000071.mp3,i'm so happy this coffee shop opened up in our neighborhood
mp3/50d30db4fcfff2561e000072.mp3,i know look at all the students studying here it's awesome
mp3/50d30db4fcfff2561e000073.mp3,you never know who you're going to meet
mp3/50d30db4fcfff2561e000074.mp3,we're all strangers brought together by our common love of coffee it's so cool
mp3/50d30db4fcfff2561e000075.mp3,did you ever talk to that barista the one you've had a crush on for weeks
mp3/50d30db4fcfff2561e000077.mp3,why not you were all excited about it the other day
mp3/50d30db4fcfff2561e000078.mp3,well i forgot to tip him last week i feel like he hates me now
mp3/50d30db4fcfff2561e000079.mp3,are you serious just tip him extra and pin your phone number on the money it'll be awesome
mp3/50d30db4fcfff2561e00007a.mp3,oh shut up you're no help
mp3/50d30db4fcfff2561e00007b.mp3,ha ha don't be so shy life's too short
mp3/50d5844cfcfff2ec2e0000c7.mp3,okay fine i'm going up right now
mp3/50d4052afcfff2ec2e000096.mp3,what are you up to this weekend
mp3/50d4052afcfff2ec2e000097.mp3,i have a date with melody that girl from the gym
mp3/50d4052afcfff2ec2e000098.mp3,awesome where are you taking her
mp3/50d4052afcfff2ec2e000099.mp3,well it's the first date so it has to be special but not too special that she gets scared away
mp3/50d4052afcfff2ec2e00009a.mp3,are you going to kiss her
mp3/50d4052afcfff2ec2e00009b.mp3,ha ha if she lets me it's totally up to her
mp3/50d4052afcfff2ec2e00009c.mp3,open up the door for her and all that mushy stuff that we girls love and recite some poetry
mp3/50d4052afcfff2ec2e00009d.mp3,i am not going to recite poetry
mp3/50d4052afcfff2ec2e00009e.mp3,ha ha i'm kidding no guys ever do that we just want them to
mp3/50d4052afcfff2ec2e00009f.mp3,ooh i'm getting a call from melody got to go
mp3/50d41521fcfff2ec2e0000a2.mp3,hey david how did your date go
mp3/50d41521fcfff2ec2e0000a3.mp3,hey megan eh it was okay i forgot to open the door for her and she got mad about it
mp3/50d41521fcfff2ec2e0000a4.mp3,ha i guess chivalry is dead after all
mp3/50d41521fcfff2ec2e0000a6.mp3,i'm taking lin lin out with me on a double date
mp3/50d41521fcfff2ec2e0000a8.mp3,with my boyfriend jake and his friend i think it'll be good for lin lin to go out and meet some new people
mp3/50d41521fcfff2ec2e0000aa.mp3,to dinner and a movie very casual and harmless it'll be fun
mp3/50d41521fcfff2ec2e0000ab.mp3,i wonder if lin lin understands the concept of causal dating
mp3/50d41521fcfff2ec2e0000ac.mp3,well she will this is america
mp3/50d425c7fcfff2ec2e0000af.mp3,my boyfriend broke up with me last night
mp3/50d425c7fcfff2ec2e0000b0.mp3,wow i'm so sorry what happened
mp3/50d425c7fcfff2ec2e0000b1.mp3,he said he just wanted to be friends that it wasn't my fault that it was his problem
mp3/50d425c7fcfff2ec2e0000b2.mp3,yeah did he say it's not you it's me
